Location,Confirmed,Active,Recovered,Deceased
North America,2191393,1189935,869018,132440
South America,1041553,491423,503720,46410
Europe,2060984,827301,1055806,177877
Asia,1291756,474415,783678,33663
Africa,173992,91661,77524,4807
Oceania,8861,469,8268,124
world,6769260,3075259,3298665,395336
USA,1933926,1110446,712872,110608
Brazil,621877,299013,288652,34212
Russia,449834,231626,212680,5528
Spain,288058,N/A,N/A,27134
UK,283311,N/A,N/A,40261
India,236001,116385,112967,6649
Italy,234531,36976,163781,33774
Germany,185354,8096,168500,8758
Peru,183198,101939,76228,5031
Turkey,168340,30292,133400,4648
Iran,167156,29281,129741,8134
France,153055,53440,70504,29111
Chile,122499,25420,95631,1448
Mexico,105680,17687,75448,12545
Saudi Arabia,95748,24490,70616,642
Canada,94070,34304,52114,7652
Pakistan,89249,56213,31198,1838
Qatar,65495,24511,40935,49
Bangladesh,60391,46776,12804,811
Belgium,58907,33229,16112,9566
Netherlands,47152,N/A,N/A,6005
Belarus,46868,24543,22066,259
Sweden,41883,N/A,N/A,4562
Ecuador,41575,17473,20568,3534
South Africa,40792,18633,21311,848
UAE,37642,17031,20337,274
Singapore,37183,12950,24209,24
Colombia,35120,21112,12921,1087
Portugal,33969,11978,20526,1465
Switzerland,30936,415,28600,1921
Kuwait,30644,12123,18277,244
Egypt,29767,20885,7756,1126
Indonesia,29521,18308,9443,1770
Ukraine,25964,13830,11372,762
Poland,25410,11863,12410,1137
Ireland,25163,795,22698,1670
Philippines,20626,15309,4330,987
Argentina,20197,13494,6088,615
Romania,20103,4642,14145,1316
Afghanistan,18969,16898,1762,309
Dominican Republic,18708,6447,11736,525
Israel,17562,2245,15026,291
Japan,17018,1248,14867,903
Austria,16843,429,15742,672
Oman,15086,11563,3451,72
Panama,15044,5062,9619,363
Bahrain,13733,5240,8471,22
Kazakhstan,12312,5357,6903,52
Bolivia,12245,10172,1658,415
Denmark,11875,636,10653,586
Armenia,11817,8121,3513,183
S. Korea,11668,889,10506,273
Serbia,11667,4489,6931,247
Nigeria,11516,7658,3535,323
Algeria,9935,2792,6453,690
Iraq,9846,4988,4573,285
Czechia,9520,2313,6880,327
Moldova,9247,3684,5240,323
Ghana,9168,5669,3457,42
Norway,8510,134,8138,238
Malaysia,8266,1540,6610,116
Morocco,8071,595,7268,208
Cameroon,7392,2612,4575,205
Australia,7251,466,6683,102
Finland,6941,819,5800,322
Azerbaijan,6860,2907,3871,82
Guatemala,6154,5017,979,158
Honduras,5880,4989,648,243
Sudan,5714,3556,1825,333
Tajikistan,4370,1831,2491,48
Senegal,4155,1834,2276,45
Djibouti,4123,2390,1707,26
Luxembourg,4032,37,3885,110
Guinea,3991,1456,2512,23
Uzbekistan,3987,744,3227,16
Hungary,3970,1183,2245,542
DRC,3764,3171,512,81
Ivory Coast,3262,1643,1584,35
Thailand,3102,73,2971,58
Greece,2967,1413,1374,180
Gabon,2955,2116,818,21
Nepal,2912,2568,333,11
El Salvador,2849,1547,1249,53
North Macedonia,2790,1009,1632,149
Haiti,2640,2566,24,50
Bulgaria,2627,1078,1390,159
Bosnia and Herzegovina,2606,479,1968,159
Kenya,2474,1752,643,79
Croatia,2247,31,2113,103
Somalia,2204,1707,418,79
Cuba,2119,197,1839,83
Venezuela,2087,1733,334,20
Mayotte,2058,510,1523,25
Kyrgyzstan,1936,574,1340,22
Estonia,1910,174,1667,69
Maldives,1883,1159,717,7
Iceland,1806,2,1794,10
Ethiopia,1805,1524,262,19
Sri Lanka,1801,932,858,11
Lithuania,1694,321,1302,71
Slovakia,1526,119,1379,28
New Zealand,1504,1,1481,22
Mali,1485,582,816,87
Slovenia,1479,11,1359,109
Guinea-Bissau,1339,1278,53,8
Lebanon,1312,516,768,28
Equatorial Guinea,1306,1094,200,12
CAR,1288,1261,23,4
Albania,1212,269,910,33
Costa Rica,1194,497,687,10
Nicaragua,1118,702,370,46
Hong Kong,1103,54,1045,4
Zambia,1089,170,912,7
Tunisia,1087,69,969,49
Paraguay,1086,564,511,11
Latvia,1085,279,781,25
South Sudan,994,978,6,10
Madagascar,975,767,201,7
Niger,963,38,860,65
Cyprus,960,136,807,17
Sierra Leone,929,302,580,47
Burkina Faso,885,72,760,53
Andorra,852,60,741,51
Uruguay,832,100,709,23
Chad,828,129,633,66
Georgia,805,142,650,13
Mauritania,784,680,65,39
Jordan,784,204,571,9
Diamond Princess,712,48,651,13
San Marino,680,210,428,42
Malta,625,33,583,9
Congo,611,412,179,20
Jamaica,591,213,368,10
French Guiana,589,267,321,1
Channel Islands,561,3,512,46
Uganda,557,475,82,0
Tanzania,509,305,183,21
Cabo Verde,502,258,239,5
Sao Tome and Principe,485,405,68,12
Réunion,479,67,411,1
Togo,465,213,239,13
Palestine,464,84,377,3
Yemen,453,333,17,103
Taiwan,443,7,429,7
Rwanda,410,128,280,2
Malawi,409,350,55,4
Mozambique,354,233,119,2
Mauritius,337,5,322,10
Isle of Man,336,0,312,24
Liberia,334,128,176,30
Vietnam,328,21,307,0
Montenegro,324,0,315,9
Eswatini,300,96,201,3
Benin,261,107,151,3
Zimbabwe,237,202,31,4
Myanmar,236,79,151,6
Libya,209,152,52,5
Martinique,200,88,98,14
Mongolia,191,121,70,0
Faeroe Islands,187,0,187,0
Gibraltar,174,21,153,0
Guadeloupe,162,10,138,14
Cayman Islands,160,74,85,1
Guyana,153,64,77,12
Bermuda,141,19,113,9
Brunei,141,1,138,2
Comoros,132,75,55,2
Cambodia,125,2,123,0
Syria,124,65,53,6
Trinidad and Tobago,117,1,108,8
Bahamas,102,36,55,11
Aruba,101,0,98,3
Monaco,99,3,92,4
Barbados,92,4,81,7
Angola,86,64,18,4
Liechtenstein,82,26,55,1
Suriname,82,72,9,1
Sint Maarten,77,1,61,15
Burundi,63,29,33,1
French Polynesia,60,0,60,0
Bhutan,48,37,11,0
Macao,45,0,45,0
Saint Martin,41,5,33,3
Botswana,40,16,23,1
Eritrea,39,0,39,0
Antigua and Barbuda,26,3,20,3
Gambia,26,5,20,1
St. Vincent Grenadines,26,11,15,0
Namibia,25,9,16,0
Timor-Leste,24,0,24,0
Grenada,23,1,22,0
Curaçao,21,5,15,1
New Caledonia,20,2,18,0
Laos,19,1,18,0
Saint Lucia,19,1,18,0
Belize,18,0,16,2
Dominica,18,2,16,0
Fiji,18,0,18,0
Saint Kitts and Nevis,15,0,15,0
Falkland Islands,13,0,13,0
Greenland,13,0,13,0
Turks and Caicos,12,0,11,1
Vatican City,12,10,2,0
Montserrat,11,0,10,1
Seychelles,11,0,11,0
MS Zaandam,9,7,0,2
Western Sahara,9,2,6,1
British Virgin Islands,8,0,7,1
Papua New Guinea,8,0,8,0
Caribbean Netherlands,7,0,7,0
St. Barth,6,0,6,0
Lesotho,4,2,2,0
Anguilla,3,0,3,0
Saint Pierre Miquelon,1,0,1,0
China,83027,66,78327,4634
