Location,Confirmed,Active,Recovered,Deceased
Andaman and Nicobar,33,0,33,0
Andhra Pradesh,4223,1613,2539,71
Arunachal Pradesh,42,41,1,0
Assam,1988,1542,442,4
Bihar,4493,2254,2210,29
Chandigarh,301,82,214,5
Chhattisgarh,756,541,213,2
Dadra and Nagar Haveli,12,11,1,0
Daman and Diu,0,0,0,0
Delhi,25004,14456,9898,650
Goa,166,109,57,0
Gujarat,18584,4762,12667,1155
Haryana,3281,1123,2134,24
Himachal Pradesh,383,199,179,5
Jammu and Kashmir,3142,2059,1048,35
Jharkhand,793,433,354,6
Karnataka,4320,2653,1610,57
Kerala,1588,884,690,14
Ladakh,90,41,48,1
Lakshadweep,0,0,0,0
Maharashtra,77793,41402,33681,2710
Manipur,124,86,38,0
Meghalaya,33,19,13,1
Mizoram,17,16,1,0
Madhya Pradesh,8762,2748,5637,377
Nagaland,80,80,0,0
Odisha,2478,1055,1416,7
Puducherry,82,57,25,0
Punjab,2415,325,2043,47
Rajasthan,9862,2545,7104,213
Sikkim,2,2,0,0
Tamil Nadu,27256,12134,14902,220
Telengana,3147,1455,1587,105
Tripura,644,471,173,0
Uttar Pradesh,9237,3553,5439,245
Uttarakhand,1153,846,297,10
West Bengal,6876,3753,2768,355
